generation,mean_performance,diversity,selection_method,end_condition
9,25.316934594148297,1.0031698338647337,probabilistic_tournament,max_generations
10,25.39201326370408,1.0321922870475426,probabilistic_tournament,max_generations
11,25.708113893579323,1.032323921978721,probabilistic_tournament,max_generations
12,26.18592571421924,1.0281759372371735,probabilistic_tournament,max_generations
13,26.849482307076915,0.8633477867933944,probabilistic_tournament,max_generations
14,27.11119464224554,0.8170576313520059,probabilistic_tournament,max_generations
15,27.286638762188428,0.7427906326229183,probabilistic_tournament,max_generations
16,27.4353977646849,0.7545953078728137,probabilistic_tournament,max_generations
17,27.612883917732752,0.6495168321083981,probabilistic_tournament,max_generations
18,27.84934412448064,0.6660625250006469,probabilistic_tournament,max_generations
19,28.829319511617133,0.5341928807326743,probabilistic_tournament,max_generations
20,29.00440896569321,0.4152022564436941,probabilistic_tournament,max_generations
21,29.47595039950505,0.3628575189848849,probabilistic_tournament,max_generations
22,29.816491463466473,0.30525980090376775,probabilistic_tournament,max_generations
23,30.038179063789798,0.26201368401783437,probabilistic_tournament,max_generations
24,30.239540344437966,0.24269987946035018,probabilistic_tournament,max_generations
25,30.35575530006773,0.21309481155127416,probabilistic_tournament,max_generations
26,30.300039593475976,0.18381483751010294,probabilistic_tournament,max_generations
27,30.41178558985679,0.17731363415240928,probabilistic_tournament,max_generations
28,30.3223403056374,0.16930574853566538,probabilistic_tournament,max_generations
29,30.114995672191966,0.1840311987492944,probabilistic_tournament,max_generations
30,30.579940089141857,0.18258671007639862,probabilistic_tournament,max_generations
31,30.664260386031142,0.19356010604748775,probabilistic_tournament,max_generations
32,30.84793341286932,0.17286457718712053,probabilistic_tournament,max_generations
33,31.157177764951385,0.17579580944830328,probabilistic_tournament,max_generations
34,31.38977440881406,0.18720083945716767,probabilistic_tournament,max_generations
35,31.459273664710658,0.17106501983756142,probabilistic_tournament,max_generations
36,31.6985478595624,0.1692287023529513,probabilistic_tournament,max_generations
37,31.40601128838409,0.16450532552406824,probabilistic_tournament,max_generations
38,31.4403571213346,0.16184305223026968,probabilistic_tournament,max_generations
39,31.524949266851824,0.16254618301149984,probabilistic_tournament,max_generations
40,31.41679411433046,0.17722635298485293,probabilistic_tournament,max_generations
41,31.47688833541486,0.17290998186518566,probabilistic_tournament,max_generations
42,31.835962312981707,0.1709035804345627,probabilistic_tournament,max_generations
43,31.955682065268057,0.16729276765225165,probabilistic_tournament,max_generations
44,31.908584330177504,0.16645302668922593,probabilistic_tournament,max_generations
45,32.121475444579666,0.14528722401806723,probabilistic_tournament,max_generations
46,32.036818891076116,0.1318965239548462,probabilistic_tournament,max_generations
47,31.907893023446935,0.13446765617734144,probabilistic_tournament,max_generations
48,31.844526675087877,0.1435420275804947,probabilistic_tournament,max_generations
49,32.26995233571757,0.12988798256281445,probabilistic_tournament,max_generations
50,32.25500098969851,0.13198421291552878,probabilistic_tournament,max_generations
51,32.40877910874298,0.13243855736807955,probabilistic_tournament,max_generations
52,32.21967309188904,0.1351045703601808,probabilistic_tournament,max_generations
53,31.586285159925282,0.1523554727025441,probabilistic_tournament,max_generations
54,32.20824118832985,0.1466262507813022,probabilistic_tournament,max_generations
55,32.190950454309444,0.14331445912406568,probabilistic_tournament,max_generations
56,32.112407166128996,0.1405858161965188,probabilistic_tournament,max_generations
57,31.965407343601598,0.1342095152948406,probabilistic_tournament,max_generations
58,32.02827277968646,0.15025456153425695,probabilistic_tournament,max_generations
59,31.918233426651085,0.14603064874087748,probabilistic_tournament,max_generations
60,32.16716210807785,0.15288477432907022,probabilistic_tournament,max_generations
61,32.39504407364021,0.14339448451643888,probabilistic_tournament,max_generations
62,32.451998420791455,0.1427702231647678,probabilistic_tournament,max_generations
63,32.818652565651014,0.14553705063649225,probabilistic_tournament,max_generations
64,32.75660652306644,0.1514696509932873,probabilistic_tournament,max_generations
65,32.8123253124106,0.14723505137247442,probabilistic_tournament,max_generations
66,32.91184769925534,0.14294279082292569,probabilistic_tournament,max_generations
67,32.94508060072603,0.11895008275824319,probabilistic_tournament,max_generations
68,32.783443289618695,0.12015583160416209,probabilistic_tournament,max_generations
69,32.92044673316469,0.11859341135242975,probabilistic_tournament,max_generations
70,32.901501288957526,0.12279391629977675,probabilistic_tournament,max_generations
71,33.16765718105927,0.10715458375293808,probabilistic_tournament,max_generations
72,33.36864057713575,0.09310307679181111,probabilistic_tournament,max_generations
73,33.45970950916729,0.11266267821654248,probabilistic_tournament,max_generations
74,33.292302818723336,0.13127011433990216,probabilistic_tournament,max_generations
75,32.85653259643613,0.1509251684601387,probabilistic_tournament,max_generations
76,33.50456258079217,0.1424103860491191,probabilistic_tournament,max_generations
77,33.42995781362112,0.15980512641625497,probabilistic_tournament,max_generations
78,33.08679666497066,0.1675083105531172,probabilistic_tournament,max_generations
